Id	Lemma / verb	ف ع ل root  ماده 	و ز ن	Pattern  Name (for sorting similar patterns)	Pattern / Weight / Measure	Buckwalter (lemmas) , basic translation (verbal data) (click to: 1. study this entry further 2. study roots also + remaining patterns from same root 3. Post correction messages on corpus messageboard)	frequency	Part-of-speech (for lemmas)	ل	ل	ل	ع	ف	
48	آبَاء	ا ب و	(فَعَل) فَاعَال	N21.4z.pl	faa'aal pl of fa'al	A^baA'	64	Noun			و	ب	ا	
49	أَبَى	ا ب ي		I		to refuse	13				ي	ب	ا	
50	آتِي	ا ت ي	فَاعِل	vb.I.ap	faa'il	A^tiy	9	Noun			ي	ت	ا	
51	مَأْتِيٌّ	ا ت ي	مَفْعِيل	vb.I.pp	maf'eel	ma>otiy~N	1	Noun			ي	ت	ا	
52	مُؤْتُون	ا ت ي	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	mu&otuwn	1	Noun			ي	ت	ا	
53	إِيتَاءٌ	ا ت ي	إِفْعَال	vb.IV.vn	if'aal	<iytaA'N	3	Noun			ي	ت	ا	
54	أَتَى	ا ت ي		I		to come, to bring	264				ي	ت	ا	
55	آتَى	ا ت ي		IV		to give	271				ي	ت	ا	
56	أَثَٰث	ا ث ث	فَعَال	N11.1	fa'aal	>ava`v	2	Noun			ث	ث	ا	
57	أَثَٰرَة	ا ث ر	فَعَالَة	N11.1t	fa'aal at	>ava`rap	1	Noun			ر	ث	ا	
58	أَثَر	ا ث ر	فَعَل	N21.4	fa'al	>avar	14	Noun			ر	ث	ا	
59	يُؤْثَرُ	ا ث ر		I		to transmit, to be related	1				ر	ث	ا	
60	آثَرَ	ا ث ر		IV		to prefer	5				ر	ث	ا	
61	أَثْل	ا ث ل	فَعْل	N21.1z.cl	fa'l	>avol	1	Noun			ل	ث	ا	
62	أَثَام	ا ث م	فَعَال	N11.1	fa'aal	>avaAm	1	Noun			م	ث	ا	
63	أَثِيم	ا ث م	فَعِيل	N13.1	fa'eel	>aviym	7	Adjective			م	ث	ا	
64	إِثْم	ا ث م	فِعْل	N23.1	fi'l	<ivom	35	Noun			م	ث	ا	
65	آثِم	ا ث م	فَاعِل	vb.I.ap	faa'il	A^vim	3	Noun			م	ث	ا	
66	تَأْثِيم	ا ث م	تَفْعِيل	vb.II.vn	taf'eel	ta>oviym	2	Noun			م	ث	ا	
67	يَأْجُوج	ا ج ج	يَفْعُول	N09.1 proper name	yaf'ool	ya>ojuwj	2	Proper noun			ج	ج	ا	
68	أُجَاج	ا ج ج	فُعَال	N11.2	fu'aal	>ujaAj	3	Noun			ج	ج	ا	
69	مَأْجُوج	ا ج ج	مَفْعُول	vb.I.ptrn.pp.N proper name	maf'ool	ma>ojuwj	2	Proper noun			ج	ج	ا	
70	أَجْر	ا ج ر	فَعْل	N21.1	fa'l	>ajor	105	Noun			ر	ج	ا	
71	تَأْجُرَ	ا ج ر		I		to work for recompense	1				ر	ج	ا	
72	ٱسْتَـْٔجَرْ	ا ج ر		X		to hire	2				ر	ج	ا	
73	أَجْل	ا ج ل	فَعْل	N21.1	fa'l	>ajol	1	Noun			ل	ج	ا	
74	أَجَل	ا ج ل	فَعَل	N21.4	fa'al	>ajal	52	Noun			ل	ج	ا	
75	مُّؤَجَّل	ا ج ل	مُفَعَّل	vb.II.pp	mufa''al	m~u&aj~al	1	Adjective			ل	ج	ا	
76	أَجَّلَ	ا ج ل		II		to appoint	2				ل	ج	ا	
77	إِحْدَى	ا ح د	فِعْلَىٰ	N05.3	fi'laa	<iHodaY	11	Noun			د	ح	ا	
78	أَحَد	ا ح د	فَعَل	N21.4	fa'al	>aHad	74	Noun			د	ح	ا	
79	أَخْذ	ا خ ذ	فَعْل	N21.1	fa'l	>axo*	6	Noun			ذ	خ	ا	
80	آخِذ	ا خ ذ	فَاعِل	vb.I.ap	faa'il	A^xi*	3	Noun			ذ	خ	ا	
81	مُتَّخِذ	ا خ ذ	مُفْتَعِل	vb.VIII.ap	mufta'il	mut~axi*	3	Noun			ذ	خ	ا	
82	ٱتِّخَاذ	ا خ ذ	اِفْتِعَال	vb.VIII.vn	ifti'aal	{t~ixaA*	1	Noun			ذ	خ	ا	
83	أَخَذَ	ا خ ذ		I		to take, to seize	127				ذ	خ	ا	
84	يُؤَاخِذُ	ا خ ذ		III		to call to account, to punish	9				ذ	خ	ا	
85	ٱتَّخَذَ	ا خ ذ		VIII		to take	124				ذ	خ	ا	
86	آخَر	ا خ ر	أَفْعَل	N06.1	af'al (its f is on pattern fu'laa)	A^xar	70	Noun (44), Adjective (26)			ر	خ	ا	
87	آخِر	ا خ ر	فَاعِل	vb.I.ptrn.ap.N 	faa'il (vb.I.ptrn.ap.N for noun coming on pattern of form I active participle but is not active participle usually)	A^xir	155	Noun (133), Adjective (21), Time adverb (1)			ر	خ	ا	
88	مُسْتَـْٔخِرِين	ا خ ر	(مُسْتَفْعِل) مُسْتَفْعِلِين	vb.X.ap	mustaf'il een.pl	musota_#oxiriyn	1	Noun			ر	خ	ا	
89	أَخَّرَ	ا خ ر		II		to delay, to give respite	15				ر	خ	ا	
90	تَأَخَّرَ	ا خ ر		V		to delay, to stay behind	3				ر	خ	ا	
91	يَسْتَأْخِرُ	ا خ ر		X		to delay, to postpone	6				ر	خ	ا	
92	أُخْت	ا خ و	فَعْلَة	N21.1t.f	fa'l at (waw is dropped. akhwat->akht->ukht(since waw is dropped damma is given to show that letter which is dropped is waw. There is difference of opinion regarding pattern of this word, but I have given one option I thought better, but to read other options, see Lane under this root))	>uxot	14	Noun			و	خ	ا	
93	أَخ	ا خ و	فَعَل	N21.4	fa'al (final waw dropped)	>ax	75	Noun			و	خ	ا	
94	إِخْوَةٌ	ا خ و	(فَعَل) فِعْلَة	N21.4z.pl t.p	fi'l at pl of fa'al	<ixowapN	7	Noun			و	خ	ا	
95	إِدّ	ا د د	فِلّ	N23.2	fill	<id~	1	Adjective			د	د	ا	
96	أَدَآء	ا د ي	فَعَال	N11.1	fa'aal	>adaA^'	1	Noun			ي	د	ا	
97	يُؤَدِّ	ا د ي		II		to discharge, to deliver	5				ي	د	ا	
98	أَذَٰن	ا ذ ن	فَعَال	N11.1	fa'aal	>a*a`n	1	Noun			ن	ذ	ا	
99	أُذُنٌ	ا ذ ن	فُعُل	N22.4	fu'ul	>u*unN	18	Noun			ن	ذ	ا	
100	إِذْن	ا ذ ن	فِعْل	N23.1	fi'l	<i*on	39	Noun			ن	ذ	ا	
101	مُؤَذِّن	ا ذ ن	مُفَعِّل	vb.II.ap	mufa''il	mu&a*~in	2	Noun			ن	ذ	ا	
102	أَذِنَ	ا ذ ن		I		to permit	23				ن	ذ	ا	
103	أَذَّنَ	ا ذ ن		II		to announce, to proclaim	3				ن	ذ	ا	
104	ءَاذَن	ا ذ ن		IV		to announce	2				ن	ذ	ا	
105	تَأَذَّنَ	ا ذ ن		V		to announce, to declare	2				ن	ذ	ا	
106	ٱسْتَـْٔذَنَ	ا ذ ن		X		to ask permission	12				ن	ذ	ا	
107	أَذًى	ا ذ ي	فَعَل	N21.4	fa'al (with ya as 3rd letter of root preceded by fatha (zabar), it is  usually retained in writing but spoken like alif. Also if this ya has tanween, the tanween is thrown back on the previous letter as done here. Note: only the tanween is thrown back i.e. here the previous letter had fatha and this fatha gets tanween.  	>a*FY	9	Noun			ي	ذ	ا	
108	أُوذِىَ	ا ذ ي		IV		to harm, to trouble	15				ي	ذ	ا	
109	مَـَٔارِب	ا ر ب	(مَفْعَلَة) مَفَاعِل	N19.1z.pl t.s	mafaa'il pl of maf'al at	ma_#aArib	1	Noun			ب	ر	ا	
110	إِرْبَة	ا ر ب	فِعْلَة	N23.1t	fi'l at	<irobap	1	Noun			ب	ر	ا	
111	أَرْض	ا ر ض	فَعْل	N21.1	fa'l	>aroD	461	Noun			ض	ر	ا	
112	أَرَآئِك	ا ر ك	(فَعِيلَة) فَعَآئِل	N13.1z.pl t.s	fa'aaa.il pl of fa'eel at	>araA^}ik	5	Noun			ك	ر	ا	
113	إِرَم	ا ر م	فِعَل	N23.5 proper name	fi'al	<iram	1	Proper noun			م	ر	ا	
114	آزَر	ا ز ر	فَاعَل	N20.1 proper name	faa'al	A^zar	1	Proper noun			ر	ز	ا	
115	أَزْر	ا ز ر	فَعْل	N21.1	fa'l	>azor	1	Noun			ر	ز	ا	
116	آزَرَ	ا ز ر		IV		to strengthen	1				ر	ز	ا	
117	أَزّ	ا ز ز	فَلّ	N21.2	fall	>az~	1	Noun			ز	ز	ا	
118	تَؤُزُّ	ا ز ز		I		to incite	1				ز	ز	ا	
119	ءَازِفَة	ا ز ف	فَاعِلَة	vb.I.ap t	faa'il at	'aAzifap	2	Noun			ف	ز	ا	
120	أَزِفَتِ	ا ز ف		I		to approach	1				ف	ز	ا	
121	أَسِير	ا س ر	فَعِيل	N13.1	fa'eel	>asiyr	4	Noun			ر	س	ا	
122	أَسْر	ا س ر	فَعْل	N21.1	fa'l	>asor	1	Noun			ر	س	ا	
