Id	Lemma / verb	ف ع ل root  ماده 	و ز ن	Pattern  Name (for sorting similar patterns)	Pattern / Weight / Measure	Buckwalter (lemmas) , basic translation (verbal data) (click to: 1. study this entry further 2. study roots also + remaining patterns from same root 3. Post correction messages on corpus messageboard)	frequency	Part-of-speech (for lemmas)	ل	ل	ل	ع	ف	
1050	حِيلَة	ح و ل	فِيلَة	N23.3t	feel at	Hiylap	1	Noun			ل	و	ح	
1051	حِوَل	ح و ل	فِعَل	N23.5	fi'al	Hiwal	1	Noun			ل	و	ح	
1052	تَحْوِيل	ح و ل	تَفْعِيل	vb.II.vn	taf'eel	taHowiyl	3	Noun			ل	و	ح	
1053	حَالَ	ح و ل		I		to come	3				ل	و	ح	
1054	أَحْوَىٰ	ح و ي	أَفْعَل	N06.1 col/frm.qlt	af'al	>aHowaY`	1	Adjective			ي	و	ح	
1055	حَوَايَآ	ح و ي	فَعَالَا	pl.	fa'aalaa pl of fa'eelat and faa'ilat and faa'ilaaa. 	HawaAyaA^	1	Noun			ي	و	ح	
1056	حَيْث	ح ي ث	فَعْل	N21.1	fa'l	Hayov	29	Noun (16), Location adverb (13)			ث	ي	ح	
1057	حَيْث	ح ي ث	فَعْل	N21.1	fa'l	Hayov2	2	Conditional particle			ث	ي	ح	
1058	تَحِيدُ	ح ي د		I		to avoid	1				د	ي	ح	
1059	حَيْرَان	ح ي ر	فَعْلَان	N03.1	fa'laan	HayoraAn	1	Noun			ر	ي	ح	
1060	مَّحِيص	ح ي ص	مَفْعِل	N19.2 vn / n.plc	maf'il	m~aHiyS	5	Noun			ص	ي	ح	
1061	مَحِيض	ح ي ض	مَفْعِل	N19.2	maf'il	maHiyD	3	Noun			ض	ي	ح	
1062	يَحِضْ	ح ي ض		I		to menstruate	1				ض	ي	ح	
1063	يَحِيفَ	ح ي ف		I		to be unjust	1				ف	ي	ح	
1064	حَاقَ	ح ي ق		I		to surround, to encompass, to envelope	10				ق	ي	ح	
1065	حِين	ح ي ن	فِيل	N23.3	feel	Hiyn	35	Noun (31), Time adverb (4)			ن	ي	ح	
1066	حَيَوَان	ح ي ي	فَعَلَان	N03.4	fa'alaan	HayawaAn	1	Noun			ي	ي	ح	
1067	مَّحْيَا	ح ي ي	مَفْعَل	N19.1	maf'al	m~aHoyaA	2	Noun			ي	ي	ح	
1068	حَيّ	ح ي ي	فَلّ	N21.2	fall	Hay~	24	Noun (23), Adjective (1)			ي	ي	ح	
1069	حَيَّة	ح ي ي	فَلَّة	N21.2t	fall at	Hay~ap	1	Noun			ي	ي	ح	
1070	حَيَوٰة	ح ي ي	فَعَلَة	N21.4t	fa'al at	Hayaw`p	76	Noun			ي	ي	ح	
1071	تَحِيَّة	ح ي ي	تَفْعِلَة	vb.II.vn t	taf'il at	taHiy~ap	6	Noun			ي	ي	ح	
1072	مُحْى	ح ي ي	مُفْعِل	vb.IV.ap	muf'il	muHoY	2	Noun			ي	ي	ح	
1073	ٱسْتِحْيَآء	ح ي ي	إِسْتِفْعَال	vb.X.vn	istif'aal	{sotiHoyaA^'	1	Noun			ي	ي	ح	
1074	حَىَّ	ح ي ي		I		to live	7				ي	ي	ح	
1075	حَيَّ	ح ي ي		II		to greet	4				ي	ي	ح	
1076	أَحْيَا	ح ي ي		IV		to give life	51				ي	ي	ح	
1077	يَسْتَحْىِۦٓ	ح ي ي		X		to let live, to be shy, to be ashamed	9				ي	ي	ح	
1078	خَبْء	خ ب ا	فَعْل	N21.1	fa'l	xabo'	1	Noun			ا	ب	خ	
1079	مُخْبِتِين	خ ب ت	(مُفْعِل) مُفْعِلِين	vb.IV.ap	muf'il een.pl	muxobitiyn	1	Noun			ت	ب	خ	
1080	أَخْبَتُ	خ ب ت		IV		to be humble	2				ت	ب	خ	
1081	خَبِيث	خ ب ث	فَعِيل	N13.1	fa'eel	xabiyv	9	Noun			ث	ب	خ	
1082	خَبِيثَة	خ ب ث	فَعِيلَة	N13.1t	fa'eel at	xabiyvap	4	Noun			ث	ب	خ	
1083	خَبِيثَٰت	خ ب ث	 (فَعِيلَة)  فَعِيلَات	N13.1t.f	fa'eel aat.pl	xabiyva`t	2	Noun			ث	ب	خ	
1084	خَبُثَ	خ ب ث		I		to be bad	1				ث	ب	خ	
1085	خَبِير	خ ب ر	فَعِيل	N13.1	fa'eel	xabiyr	45	Adjective (23), Noun (22)			ر	ب	خ	
1086	خَبَر	خ ب ر	فَعَل	N21.4	fa'al	xabar	2	Noun			ر	ب	خ	
1087	أَخْبَار	خ ب ر	(فَعَل) أَفْعَال	N21.4z.pl	af'aal pl of fa'al	>axobaAr	3	Noun			ر	ب	خ	
1088	خُبْر	خ ب ر	فُعْل	N22.1	fu'l	xubor	2	Noun			ر	ب	خ	
1089	خُبْز	خ ب ز	فُعْل	N22.1	fu'l	xuboz	1	Noun			ز	ب	خ	
1090	يَتَخَبَّطُ	خ ب ط		V		to confound	1				ط	ب	خ	
1091	خَبَال	خ ب ل	فَعَال	N11.1	fa'aal	xabaAl	2	Noun			ل	ب	خ	
1092	خَبَتْ	خ ب و		I		to subside	1				و	ب	خ	
1093	خَتَّار	خ ت ر	فَعَّال	N01.1	fa''aal	xat~aAr	1	Adjective			ر	ت	خ	
1094	خِتَٰم	خ ت م	فِعَال	N11.3	fi'aal	xita`m	1	Noun			م	ت	خ	
1095	خَاتَم	خ ت م	فَاعَل	N20.1	faa'al	xaAtam	1	Noun			م	ت	خ	
1096	مَّخْتُوم	خ ت م	مَفْعُول	vb.I.pp	maf'ool	m~axotuwm	1	Adjective			م	ت	خ	
1097	خَتَمَ	خ ت م		I		to seal	5				م	ت	خ	
1098	أُخْدُود	خ د د	أُفْعُول	N10.1	uf'ool	>uxoduwd	1	Noun			د	د	خ	
1099	خَدّ	خ د د	فَلّ	N21.2	fall	xad~	1	Noun			د	د	خ	
1100	خَٰدِع	خ د ع	فَاعِل	vb.I.ap	faa'il	xa`diE	1	Noun			ع	د	خ	
1101	يَخْدَعُ	خ د ع		I		to deceive	2				ع	د	خ	
1102	يُخَٰدِعُ	خ د ع		III		to deceive	2				ع	د	خ	
1103	أَخْدَان	خ د ن	(فِعْل) أَفْعَال	N23.1z.pl	af'aal pl of fi'l	>axodaAn	2	Noun			ن	د	خ	
1104	خَذُول	خ ذ ل	فَعُول	N12.1	fa'ool	xa*uwl	1	Adjective			ل	ذ	خ	
1105	يَخْذُلْ	خ ذ ل		I		to forsake	1				ل	ذ	خ	
1106	مَّخْذُول	خ ذ ل 	مَفْعُول	vb.I.pp	maf'ool	m~axo*uwl	1	Noun			ل	ذ	خ	
1107	خَرَاب	خ ر ب	فَعَال	N11.1	fa'aal	xaraAb	1	Noun			ب	ر	خ	
1108	يُخْرِبُ	خ ر ب		IV		to destroy	1				ب	ر	خ	
1109	خَرَاج	خ ر ج	فَعَال	N11.1	fa'aal	xaraAj	1	Noun			ج	ر	خ	
1110	خُرُوج	خ ر ج	فُعُول	N12.2	fu'ool	xuruwj	5	Noun			ج	ر	خ	
1111	مَخْرَج	خ ر ج	مَفْعَل	N19.1 vn / n.plc	maf'al	maxoraj	1	Noun			ج	ر	خ	
1112	خَرْج	خ ر ج	فَعْل	N21.1	fa'l	xaroj	2	Noun			ج	ر	خ	
1113	خَارِج	خ ر ج	فَاعِل	vb.I.ap	faa'il	xaArij	3	Noun			ج	ر	خ	
1114	مُخْرِج	خ ر ج	مُفْعِل	vb.IV.ap	muf'il	muxorij	3	Noun			ج	ر	خ	
1115	مُخْرَج	خ ر ج	مُفْعَل	vb.IV.pp & vb.IV.ptrn.pp.N. plc	muf'al	muxoraj	5	Noun			ج	ر	خ	
1116	إِخْرَاج	خ ر ج	إِفْعَال	vb.IV.vn	if'aal	<ixoraAj	6	Noun			ج	ر	خ	
1117	خَرَجَ	خ ر ج		I		to go out, to come out, to depart, to leave	53				ج	ر	خ	
1118	أَخْرَجَ	خ ر ج		IV		to bring forth, to drive out	99				ج	ر	خ	
1119	ٱسْتَخْرَجَ	خ ر ج		X		to bring out	4				ج	ر	خ	
1120	خَرْدَل	خ ر د ل	فَرْعَل	N28.1	far'al	xarodal	2	Noun		ل	د	ر	خ	
1121	خَرَّ	خ ر ر		I		to fall	12				ر	ر	خ	
1122	خَرَّٰصُون	خ ر ص	 (فَعَّال) فَعَّالُون	N01.1	fa''aal oon.pl	xar~a`Suwn	1	Noun			ص	ر	خ	
1123	يَخْرُصُ	خ ر ص		I		to guess, to lie	4				ص	ر	خ	
1124	خُرْطُوم	خ ر ط م	فُرْعُول	N12.Q1	fur'ool	xuroTuwm	1	Noun		م	ط	ر	خ	
1125	خَرَقَ	خ ر ق		I		to falsely attribute, to tear	4				ق	ر	خ	
1126	خَزَآئِن	خ ز ن	 (فِعَالَة) فَعَآئِل	N11.3z.pl t.s	fa'aa.il pl of fi'aal at	xazaA^}in	8	Noun			ن	ز	خ	
1127	خَٰزِنِين	خ ز ن	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	xa`ziniyn	1	Noun			ن	ز	خ	
1128	خَزَنَت	خ ز ن	(فَاعِل) فَعَلَت	vb.I.ap z.pl t.p	fa'al at pl of faa'il	xazanat	4	Noun			ن	ز	خ	
1129	أَخْزَىٰ	خ ز ي	أَفْعَل	N06.1 comp/supr	af'al	>axozaY`	1	Noun			ي	ز	خ	
1130	خِزْى	خ ز ي	فِعْل	N23.1	fi'l	xizoY	11	Noun			ي	ز	خ	
1131	مُخْزِى	خ ز ي	مُفْعِل	vb.IV.ap	muf'il	muxoziY	1	Noun			ي	ز	خ	
1132	نَخْزَىٰ	خ ز ي		I		to be disgraced	1				ي	ز	خ	
1133	أَخْزَيْ	خ ز ي		IV		to disgrace	12				ي	ز	خ	
1134	خَاسِئ	خ س ا	فَاعِل	vb.I.ptrn.ap.N	faa'il	xaAsi}	3	Adjective (2), Noun (1)			ا	س	خ	
1135	ٱخْسَـُٔ	خ س ا		I		to be despised	1				ا	س	خ	
1136	خُسْرَان	خ س ر	فُعْلَان	N03.2	fu'laan	xusoraAn	3	Noun			ر	س	خ	
1137	أَخْسَرِين	خ س ر	 (أَفْعَل) أَفْعَلِين	N06.1 comp/supr	af'al een.pl	>axosariyn	4	Noun			ر	س	خ	
1138	خَسَار	خ س ر	فَعَال	N11.1	fa'aal	xasaAr	3	Noun			ر	س	خ	
1139	خُسْر	خ س ر	فُعْل	N22.1	fu'l	xusor	2	Noun			ر	س	خ	
1140	خَٰسِرِين	خ س ر	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	xa`siriyn	32	Noun			ر	س	خ	
1141	خَاسِرَة	خ س ر	فَاعِلَة	vb.I.ap t	faa'il at	xaAsirap	1	Adjective			ر	س	خ	
1142	تَخْسِير	خ س ر	تَفْعِيل	vb.II.vn	taf'eel	taxosiyr	1	Noun			ر	س	خ	
1143	مُخْسِرِين	خ س ر	(مُفْعِل) مُفْعِلِين	vb.IV.ap	muf'il een.pl	muxosiriyn	1	Noun			ر	س	خ	
1144	خَسِرَ	خ س ر		I		to lose	16				ر	س	خ	
1145	يُخْسِرُ	خ س ر		IV		to give less, to make deficient	2				ر	س	خ	
1146	خَسَفَ	خ س ف		I		to cause to swallow	8				ف	س	خ	
1147	خُشُب	خ ش ب	(فَعَل) فُعُل	N21.4z.pl	fu'ul pl of fa'al	xu$ub	1	Noun			ب	ش	خ	
1148	خُشُوع	خ ش ع	فُعُول	N12.2	fu'ool	xu$uwE	1	Noun			ع	ش	خ	
1149	خَاشِع	خ ش ع	فَاعِل	vb.I.ap	faa'il	xaA$iE	14	Noun			ع	ش	خ	
1150	خَشَعَتِ	خ ش ع		I		to become humble	2				ع	ش	خ	
1151	خَشْيَة	خ ش ي	فَعْلَة	N21.1t	fa'l at	xa$oyap	8	Noun			ي	ش	خ	
1152	خَشِىَ	خ ش ي		I		to fear	40				ي	ش	خ	
1153	خَصَاصَة	خ ص ص	فَعَالَة	N11.1t	fa'aal at	xaSaASap	1	Noun			ص	ص	خ	
1154	خَآصَّة	خ ص ص	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	xaA^S~ap	1	Noun			ص	ص	خ	
1155	يَخْتَصُّ	خ ص ص		VIII		to choose	2				ص	ص	خ	
1156	يَخْصِفَ	خ ص ف		I		to fasten	2				ف	ص	خ	
1157	خَصِيم	خ ص م	فَعِيل	N13.1	fa'eel	xaSiym	5	Noun			م	ص	خ	
1158	خَصْم	خ ص م	فَعْل	N21.1	fa'l	xaSom	3	Noun			م	ص	خ	
1159	خَصِمُون	خ ص م	(فَعِل) فَعِلُون	N21.6	fa'il oon.pl	xaSimuwn	1	Adjective			م	ص	خ	
1160	تَخَاصُم	خ ص م	تَفَاعُل	vb.VI.vn	tafaa'ul	taxaASum	1	Noun			م	ص	خ	
1161	ٱخْتَصَمُ	خ ص م		VIII		to dispute	8				م	ص	خ	
1162	مَّخْضُود	خ ض د	مَفْعُول	vb.I.pp	maf'ool	m~axoDuwd	1	Adjective			د	ض	خ	
1163	أَخْضَر	خ ض ر	أَفْعَل	N06.1 col/frm.qlt	af'al (its f is on pattern fa'laaa.) 	>axoDar	1	Adjective			ر	ض	خ	
1164	خَضِر	خ ض ر	فَعِل	N21.6	fa'il	xaDir	1	Noun			ر	ض	خ	
1165	خُضْر	خ ض ر	فُعْل	N22.1	fu'l	xuDor	5	Noun (4), Adjective (1)			ر	ض	خ	
1166	مُخْضَرَّة	خ ض ر	مُفْعَلَّة	vb.IX.ap t	muf'all at	muxoDar~ap	1	Noun			ر	ض	خ	
1167	خَٰضِعِين	خ ض ع	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	xa`DiEiyn	1	Noun			ع	ض	خ	
1168	تَخْضَعْ	خ ض ع		I		to be soft	1				ع	ض	خ	
1169	 خَطِيئَة	خ ط ا	فَعِيلَة	N13.1t	fa'eel at	xaTiy^_#ap	8	Noun			ا	ط	خ	
1170	خَطِيئَات	خ ط ا	 (فَعِيلَة)  فَعِيلَات	N13.1t	fa'eel aat.pl 	xaTiy^_#a`t	2	Noun			ا	ط	خ	
1171	خَطَـٔ	خ ط ا	فَعَل	N21.4	fa'al	xaTa_#	2	Noun			ا	ط	خ	
1172	خِطْـٔ	خ ط ا	فِعْل	N23.1	fi'l	xiTo_#	1	Noun			ا	ط	خ	
1173	خَٰطِـِٔين	خ ط ا	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	xa`Ti_#iyn	5	Noun			ا	ط	خ	
1174	خَاطِئَة	خ ط ا	فَاعِلَة	vb.I.ap t	faa'il at	xaATi}ap	2	Noun (1), Adjective (1)			ا	ط	خ	
1175	أَخْطَأْ	خ ط ا		IV		to err, to make mistake	2				ا	ط	خ	
1176	خِطَاب	خ ط ب	فِعَال	N11.3 vb.III.vn	fi'aal	xiTaAb	3	Noun			ب	ط	خ	
1177	خَطْب	خ ط ب	فَعْل	N21.1	fa'l	xaTob	5	Noun			ب	ط	خ	
1178	خِطْبَة	خ ط ب	فِعْلَة	N23.1t	fi'l at	xiTobap	1	Noun			ب	ط	خ	
1179	خَاطَبَ	خ ط ب		III		to address	3				ب	ط	خ	
1180	تَخُطُّ	خ ط ط		I		to write	1				ط	ط	خ	
1181	خَطْفَة	خ ط ف	فَعْلَة	N21.1t.n.un	fa'l at	xaTofap	1	Noun			ف	ط	خ	
1182	خَطِفَ	خ ط ف		I		to snatch	3				ف	ط	خ	
1183	يَتَخَطَّفَ	خ ط ف		V		to do away with, to sweep, to take away	3				ف	ط	خ	
1184	خُطُوَٰت	خ ط و	(فُعْلَة) فُعُلَات	N22.1z.pl t	fu'ul aat pl of fu'l at	xuTuwa`t	5	Noun			و	ط	خ	
1185	تُخَافِتْ	خ ف ت		III		to be silent	1				ت	ف	خ	
1186	يَتَخَٰفَتُ	خ ف ت		VI		to murmur	2				ت	ف	خ	
1187	خَافِضَة	خ ف ض	فَاعِلَة	vb.I.ap t	faa'il at	xaAfiDap	1	Noun			ض	ف	خ	
1188	ٱخْفِضْ	خ ف ض		I		to lower	3				ض	ف	خ	
1189	خَفِيف	خ ف ف	فَعِيل	N13.1	fa'eel	xafiyf	2	Adjective (1), Noun (1)			ف	ف	خ	
1190	تَخْفِيف	خ ف ف	تَفْعِيل	vb.II.vn	taf'eel	taxofiyf	1	Noun			ف	ف	خ	
1191	خَفَّتْ	خ ف ف		I		to be light	3				ف	ف	خ	
1192	خَفَّفَ	خ ف ف		II		to lighten	8				ف	ف	خ	
1193	ٱسْتَخَفَّ	خ ف ف		X		to take lightly, to bluff	3				ف	ف	خ	
1194	أَخْفَى	خ ف ي	أَفْعَل	N06.1 comp/supr	af'al	>axofaY	1	Noun			ي	ف	خ	
1195	خَفِىّ	خ ف ي	فَعِيل	N13.1	fa'eel	xafiY~	2	Adjective			ي	ف	خ	
1196	خُفْيَة	خ ف ي	فُعْلَة	N22.1t	fu'l at	xufoyap	2	Noun			ي	ف	خ	
1197	خَافِيَة	خ ف ي	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	xaAfiyap	1	Noun			ي	ف	خ	
1198	مُسْتَخْف	خ ف ي	مُسْتَفْعِل	vb.X.ap	mustaf'il	musotaxof	1	Noun			ي	ف	خ	
1199	يَخْفَىٰ	خ ف ي		I		to hide	6				ي	ف	خ	
1200	أُخْفِىَ	خ ف ي		IV		to conceal, to hide	18				ي	ف	خ	
1201	يَسْتَخْفُ	خ ف ي		X		to hide	3				ي	ف	خ	
1202	خُلُود	خ ل د	فُعُول	N12.2	fu'ool	xuluwd	1	Noun			د	ل	خ	
1203	خُلْد	خ ل د	فُعْل	N22.1	fu'l	xulod	6	Noun			د	ل	خ	
1204	خَٰلِد	خ ل د	فَاعِل	vb.I.ap	faa'il	xa`lid	74	Noun			د	ل	خ	
1205	مُّخَلَّدُون	خ ل د	(مُفَعَّل) مُفَعَّلُون	vb.II.pp	mufa''al oon.pl	m~uxal~aduwn	2	Noun (1), Adjective (1)			د	ل	خ	
1206	يَخْلُدْ	خ ل د		I		to live forever	2				د	ل	خ	
1207	أَخْلَدَ	خ ل د		IV		to adhere	2				د	ل	خ	
1208	خَالِص	خ ل ص	فَاعِل	vb.I.ptrn.ap.N	faa'il	xaAliS	2	Noun			ص	ل	خ	
1209	خَالِصَة	خ ل ص	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	xaAliSap	5	Noun			ص	ل	خ	
1210	مُخْلِص	خ ل ص	مُفْعِل	vb.IV.ap	muf'il	muxoliS	11	Noun			ص	ل	خ	
1211	مُخْلَص	خ ل ص	مُفْعَل	vb.IV.pp	muf'al	muxolaS	9	Adjective (8), Noun (1)			ص	ل	خ	
1212	خَلَصُ	خ ل ص		I		to seclude	1				ص	ل	خ	
1213	أَخْلَصُ	خ ل ص		IV		to choose, to be sincere	2				ص	ل	خ	
1214	أَسْتَخْلِصْ	خ ل ص		X		to select	1				ص	ل	خ	
1215	خُلَطَآء	خ ل ط	(فَعِيل) فُعَلَآء	N13.1z.pl	fu'alaaa. pl of fa'eel	xulaTaA^'	1	Noun			ط	ل	خ	
1216	خَلَطُ	خ ل ط		I		to mix	1				ط	ل	خ	
1217	تُخَالِطُ	خ ل ط		III		to associate	1				ط	ل	خ	
1218	ٱخْتَلَطَ	خ ل ط		VIII		to join, to absorb, to mingle	3				ط	ل	خ	
1219	ٱخْلَعْ	خ ل ع		I		to remove	1				ع	ل	خ	
1220	خِلَٰف	خ ل ف	فِعَال	N11.3 vb.III.vn	fi'aal	xila`f	6	Noun			ف	ل	خ	
1221	خَلِيفَة	خ ل ف	فَعِيلَة	N13.1t	fa'eel at	xaliyfap	9	Noun			ف	ل	خ	
1222	خَلْف	خ ل ف	فَعْل	N21.1	fa'l	xalof	22	Noun (17), Location adverb (5)			ف	ل	خ	
1223	خِلْفَة	خ ل ف	فِعْلَة	N23.1t	fi'l at	xilofap	1	Noun			ف	ل	خ	
1224	خَٰلِفِين	خ ل ف	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	xa`lifiyn	1	Noun			ف	ل	خ	
1225	خَوَالِف	خ ل ف	(فَاعِلَة) فَوَاعِل	vb.I.ap z.pl t.s	fawaa'il pl of faa'il at	xawaAlif	2	Noun			ف	ل	خ	
1226	مُخَلَّفُون	خ ل ف	(مُفَعَّل) مُفَعَّلُون	vb.II.pp	mufa''al oon.pl	muxal~afuwn	4	Noun			ف	ل	خ	
1227	مُخْلِف	خ ل ف	مُفْعِل	vb.IV.ap	muf'il	muxolif	1	Noun			ف	ل	خ	
1228	مُّخْتَلِف	خ ل ف	مُفْتَعِل	vb.VIII.ap	mufta'il	m~uxotalif	10	Noun			ف	ل	خ	
1229	ٱخْتِلَٰف	خ ل ف	اِفْتِعَال	vb.VIII.vn	ifti'aal	{xotila`f	7	Noun			ف	ل	خ	
1230	مُّسْتَخْلَفِين	خ ل ف	(مُسْتَفْعَل) مُسْتَفْعَلِين	vb.X.pp	mustaf'al een.pl	m~usotaxolafiyn	1	Noun			ف	ل	خ	
1231	خَلَفَ	خ ل ف		I		to succeed, to come after	5				ف	ل	خ	
1232	خُلِّفُ	خ ل ف		II		to leave behind	1				ف	ل	خ	
1233	يُخَالِفُ	خ ل ف		III		to oppose, to differ	2				ف	ل	خ	
1234	أَخْلَفُ	خ ل ف		IV		to break, to fail	14				ف	ل	خ	
1235	يَتَخَلَّفُ	خ ل ف		V		to remain behind	1				ف	ل	خ	
1236	ٱخْتَلَفَ	خ ل ف		VIII		to differ	35				ف	ل	خ	
1237	ٱسْتَخْلَفَ	خ ل ف		X		to grant succession	5				ف	ل	خ	
1238	خَلَّٰق	خ ل ق	فَعَّال	N01.1	fa''aal	xal~a`q	2	Noun			ق	ل	خ	
1239	خَلَٰق	خ ل ق	فَعَال	N11.1	fa'aal	xala`q	6	Noun			ق	ل	خ	
1240	خَلْق	خ ل ق	فَعْل	N21.1	fa'l	xaloq	52	Noun			ق	ل	خ	
1241	خُلُق	خ ل ق	فُعُل	N22.4	fu'ul	xuluq	2	Noun			ق	ل	خ	
1242	خَٰلِق	خ ل ق	فَاعِل	vb.I.ap	faa'il	xa`liq	12	Noun (11), Adjective (1)			ق	ل	خ	
1243	مُخَلَّقَة	خ ل ق	مُفَعَّلَة	vb.II.pp t	mufa''al at	muxal~aqap	2	Noun			ق	ل	خ	
1244	ٱخْتِلَٰق	خ ل ق	اِفْتِعَال	vb.VIII.vn	ifti'aal	{xotila`q	1	Noun			ق	ل	خ	
1245	خَلَقَ	خ ل ق		I		to create	184				ق	ل	خ	
1246	خِلَٰل	خ ل ل	فِعَال	N11.3 vb.III.vn 	fi'aal (vb.III.vn and pattern without any verbal form link both used e.g. in 17:5, it is not verbal noun III)	xila`l	8	Noun			ل	ل	خ	
1247	خَلِيل	خ ل ل	فَعِيل	N13.1	fa'eel	xaliyl	4	Noun			ل	ل	خ	
1248	خُلَّة	خ ل ل	فُلَّة	N22.2t	full at	xul~ap	1	Noun			ل	ل	خ	
1249	خَالِيَة	خ ل و	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	xaAliyap	1	Adjective			و	ل	خ	
1250	خَلَا	خ ل و		I		to pass away	25				و	ل	خ	
1251	خَلُّ	خ ل و		II		to leave	1				و	ل	خ	
1252	تَخَلَّتْ	خ ل و		V		to become empty	1				و	ل	خ	
1253	خَٰمِدِين	خ م د	(فَاعِل) فَاعِلِين	vb.I.ptrn.ap.N	faa'il een.pl	xa`midiyn	2	Noun			د	م	خ	
1254	خُمُر	خ م ر	 (فِعَال)  فُعُل	N11.3z.pl	fu'ul pl of fi'aal	xumur	1	Noun			ر	م	خ	
1255	خَمْر	خ م ر	فَعْل	N21.1	fa'l	xamor	6	Noun			ر	م	خ	
1256	خَمْسَة	خ م س	فَعْلَة	N21.1t n.nmb	fa'l at	xamosap	3	Noun			س	م	خ	
1257	خَمْسِين	خ م س	فَعْلِين	N21.1z.pl n.nmb t.s	fa'l een pl number (singular pattern fa'l at is used for 5 and plural pattern is used for 50)	xamosiyn	2	Noun			س	م	خ	
1258	خُمُس	خ م س	فُعُل	N22.4	fu'ul	xumus	1	Noun			س	م	خ	
1259	خَٰمِسَة	خ م س	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	xa`misap	2	Noun			س	م	خ	
1260	مَخْمَصَة	خ م ص	مَفْعَلَة	N19.1t	maf'al at	maxomaSap	2	Noun			ص	م	خ	
1261	خَمْط	خ م ط	فَعْل	N21.1	fa'l	xamoT	1	Adjective			ط	م	خ	
1262	خِنزِير	خ ن ز ر	فِرْعِيل	N13.Q1	fir'eel	xinziyr	5	Noun		ر	ز	ن	خ	
1263	خَنَّاس	خ ن س	فَعَّال	N01.1	fa''aal	xan~aAs	1	Adjective			س	ن	خ	
1264	خُنَّس	خ ن س	(فَاعِل) فُعَّل	vb.I.ap z.pl	fu''al pl of faa'il	xun~as	1	Noun			س	ن	خ	
1265	مُنْخَنِقَة	خ ن ق	مُنفَعِلَة	vb.VII.ptrn.ap.N.t	munfa'il at	munoxaniqap	1	Noun			ق	ن	خ	
1266	خُوَار	خ و ر	فُعَال	N11.2	fu'aal	xuwaAr	2	Noun			ر	و	خ	
1267	خَوْض	خ و ض	فَعْل	N21.1	fa'l	xawoD	2	Noun			ض	و	خ	
1268	خَآئِضِين	خ و ض	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een	xaA^}iDiyn	1	Noun			ض	و	خ	
1269	خَاضُ	خ و ض		I		to engage in idle talk, to converse vainly	9				ض	و	خ	
1270	خَوْف	خ و ف	فَعْل	N21.1	fa'l	xawof	26	Noun			ف	و	خ	
1271	خِيفَة	خ و ف	فِيلَة	N23.3t	feel at	xiyfap	6	Noun			ف	و	خ	
1272	خَآئِف	خ و ف	فَاعِل	vb.I.ap	faa'il	xaA^}if	3	Noun			ف	و	خ	
1273	تَخْوِيف	خ و ف	تَفْعِيل	vb.II.vn	taf'eel	taxowiyf	1	Noun			ف	و	خ	
1274	تَخَوُّف	خ و ف	تَفَعُّل	vb.V.vn	tafa''ul	taxaw~uf	1	Noun			ف	و	خ	
1275	خَافَ	خ و ف		I		to fear, to be afraid	83				ف	و	خ	
1276	يُخَوِّفُ	خ و ف		II		to frighten, to threaten	4				ف	و	خ	
1277	خَال	خ و ل	فَال	N21.3	faal	xaAl	2	Noun			ل	و	خ	
1278	خَٰلَٰت	خ و ل	(فَالَة)فَالَات	N21.3t.f	faal aat.pl	xa`la`t	3	Noun			ل	و	خ	
1279	خَوَّلَ	خ و ل		II		to bestow	3				ل	و	خ	
1280	خَوَّان	خ و ن	فَعَّال	N01.1	fa''aal	xaw~aAn	2	Noun (1), Adjective (1)			ن	و	خ	
1281	خِيَانَة	خ و ن	فِعَالَة	N11.3t	fi'aal at	xiyaAnap	2	Noun			ن	و	خ	
1282	خَآئِنِين	خ و ن	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	xaA^}iniyn	3	Noun			ن	و	خ	
1283	خَآئِنَة	خ و ن	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	xaA^}inap	2	Noun			ن	و	خ	
1284	خَانُ	خ و ن		I		to betray	5				ن	و	خ	
1285	يَخْتَانُ	خ و ن		VIII		to deceive	2				ن	و	خ	
1286	خَاوِيَة	خ و ي	فَاعِلَة	vb.I.ptrn.ap.N.t 	faa'il at	xaAwiyap	5	Noun (4), Adjective (1)			ي	و	خ	
1287	خَآئِبِين	خ ي ب	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een	xaA^}ibiyn	1	Noun			ب	ي	خ	
1288	خَابَ	خ ي ب		I		to fail	4				ب	ي	خ	
1289	خَيْر	خ ي ر	فَعْل	N21.1	fa'l	xayor	178	Noun (148), Adjective (30)			ر	ي	خ	
